path,label,generator,family,source_id,media_type,quality,split,degradation
data/raw_audio/authentic/1988/1988-147956-0002.wav,0,authentic,authentic,1988,audio,native,test,none
data/raw_audio/authentic/1988/1988-147956-0003.wav,0,authentic,authentic,1988,audio,native,test,none
data/raw_audio/authentic/1988/1988-147956-0004.wav,0,authentic,authentic,1988,audio,native,test,none
data/raw_audio/authentic/1988/1988-147956-0005.wav,0,authentic,authentic,1988,audio,native,test,none
data/raw_audio/authentic/1988/1988-147956-0006.wav,0,authentic,authentic,1988,audio,native,test,none
data/raw_audio/authentic/2277/2277-149896-0000.wav,0,authentic,authentic,2277,audio,native,test,none
data/raw_audio/authentic/2277/2277-149896-0001.wav,0,authentic,authentic,2277,audio,native,test,none
data/raw_audio/authentic/2277/2277-149896-0002.wav,0,authentic,authentic,2277,audio,native,test,none
data/raw_audio/authentic/2277/2277-149896-0003.wav,0,authentic,authentic,2277,audio,native,test,none
data/raw_audio/authentic/2277/2277-149896-0005.wav,0,authentic,authentic,2277,audio,native,test,none
data/raw_audio/piper/piper_en_US-amy-medium/1673-143396-0003.wav,1,piper,tts_vits,piper_en_US-amy-medium,audio,native,test,none
data/raw_audio/piper/piper_en_US-amy-medium/1988-147956-0002.wav,1,piper,tts_vits,piper_en_US-amy-medium,audio,native,test,none
data/raw_audio/piper/piper_en_US-amy-medium/1988-147956-0006.wav,1,piper,tts_vits,piper_en_US-amy-medium,audio,native,test,none
data/raw_audio/piper/piper_en_US-amy-medium/2035-147960-0003.wav,1,piper,tts_vits,piper_en_US-amy-medium,audio,native,test,none
data/raw_audio/piper/piper_en_US-amy-medium/2086-149214-0003.wav,1,piper,tts_vits,piper_en_US-amy-medium,audio,native,test,none
data/raw_audio/piper/piper_en_US-amy-medium/2277-149896-0001.wav,1,piper,tts_vits,piper_en_US-amy-medium,audio,native,test,none
data/raw_audio/piper/piper_en_US-amy-medium/5536-43358-0000.wav,1,piper,tts_vits,piper_en_US-amy-medium,audio,native,test,none
data/raw_audio/piper/piper_en_US-amy-medium/5536-43358-0004.wav,1,piper,tts_vits,piper_en_US-amy-medium,audio,native,test,none
data/raw_audio/piper/piper_en_US-amy-medium/777-126732-0003.wav,1,piper,tts_vits,piper_en_US-amy-medium,audio,native,test,none
data/raw_audio/piper/piper_en_US-amy-medium/7976-110124-0002.wav,1,piper,tts_vits,piper_en_US-amy-medium,audio,native,test,none
data/raw_audio/piper/piper_en_US-amy-medium/8297-275156-0001.wav,1,piper,tts_vits,piper_en_US-amy-medium,audio,native,test,none
data/raw_audio/piper/piper_en_US-amy-medium/84-121123-0000.wav,1,piper,tts_vits,piper_en_US-amy-medium,audio,native,test,none
data/raw_audio/piper/piper_en_US-amy-medium/84-121123-0006.wav,1,piper,tts_vits,piper_en_US-amy-medium,audio,native,test,none
data/raw_audio/piper/piper_en_US-joe-medium/1673-143396-0007.wav,1,piper,tts_vits,piper_en_US-joe-medium,audio,native,test,none
data/raw_audio/piper/piper_en_US-joe-medium/1988-147956-0004.wav,1,piper,tts_vits,piper_en_US-joe-medium,audio,native,test,none
data/raw_audio/piper/piper_en_US-joe-medium/2035-147960-0001.wav,1,piper,tts_vits,piper_en_US-joe-medium,audio,native,test,none
data/raw_audio/piper/piper_en_US-joe-medium/2086-149214-0000.wav,1,piper,tts_vits,piper_en_US-joe-medium,audio,native,test,none
data/raw_audio/piper/piper_en_US-joe-medium/2086-149220-0005.wav,1,piper,tts_vits,piper_en_US-joe-medium,audio,native,test,none
data/raw_audio/piper/piper_en_US-joe-medium/2277-149896-0003.wav,1,piper,tts_vits,piper_en_US-joe-medium,audio,native,test,none
data/raw_audio/piper/piper_en_US-joe-medium/5536-43358-0002.wav,1,piper,tts_vits,piper_en_US-joe-medium,audio,native,test,none
data/raw_audio/piper/piper_en_US-joe-medium/777-126732-0001.wav,1,piper,tts_vits,piper_en_US-joe-medium,audio,native,test,none
data/raw_audio/piper/piper_en_US-joe-medium/7976-110124-0000.wav,1,piper,tts_vits,piper_en_US-joe-medium,audio,native,test,none
data/raw_audio/piper/piper_en_US-joe-medium/7976-110124-0004.wav,1,piper,tts_vits,piper_en_US-joe-medium,audio,native,test,none
data/raw_audio/piper/piper_en_US-joe-medium/8297-275156-0003.wav,1,piper,tts_vits,piper_en_US-joe-medium,audio,native,test,none
data/raw_audio/piper/piper_en_US-joe-medium/84-121123-0003.wav,1,piper,tts_vits,piper_en_US-joe-medium,audio,native,test,none
